Dataset,ave_n_neighbors,n_observations,n_features,n_classes,Endpoint,Imbalance,Task,Metadata,seed,n_neighbors,p,weight,score,
haberman,27.6,306,3,2,binary,0.22,classification,,1,26,2,d,0.7013,
haberman,,,,,,,,,2,26,2,d,0.7013,
haberman,,,,,,,,,3,30,2,d,0.7402,
haberman,,,,,,,,,4,30,2,d,0.7402,
,,,,,,,,,5,26,2,d,0.7013,
,,,,,,,,,6,26,2,d,0.7013,
,,,,,,,,,7,30,2,d,0.7403,
,,,,,,,,,8,30,2,d,0.7403,
,,,,,,,,,9,26,2,d,0.7013,
,,,,,,,,,10,26,2,d,0.7013,
,,,,,,,,,,,,,,
hayes_roth,9,160,4,3,categorical,0.04,classification,,1,9,1,d,0.7,
hayes_roth,,,,,,,,,2,9,1,d,0.7,
hayes_roth,,,,,,,,,3,9,1,d,0.7,
hayes_roth,,,,,,,,,4,9,1,d,0.7,
,,,,,,,,,5,9,1,d,0.7,
,,,,,,,,,6,9,1,d,0.7,
,,,,,,,,,7,9,1,d,0.7,
,,,,,,,,,8,9,1,d,0.7,
,,,,,,,,,9,9,1,d,0.7,
,,,,,,,,,10,9,1,d,0.7,
,,,,,,,,,,,,,,
heart_c,7,303,13,2,binary,0.01,classification,,1,7,1,u,0.6316,
heart_c,,,,,,,,,2,7,1,u,0.6316,
heart_c,,,,,,,,,3,7,1,u,0.6316,
heart_c,,,,,,,,,4,7,1,u,0.6316,
,,,,,,,,,5,7,1,u,0.6316,
,,,,,,,,,6,7,1,u,0.6316,
,,,,,,,,,7,7,1,u,0.6316,
,,,,,,,,,8,7,1,u,0.6316,
,,,,,,,,,9,7,1,u,0.6316,
,,,,,,,,,10,7,1,u,0.6316,
,,,,,,,,,,,,,,
heart_h,12,294,13,2,binary,0.08,classification,,1,12,1,u,0.6351,
heart_h,,,,,,,,,2,12,1,u,0.6351,
heart_h,,,,,,,,,3,12,1,u,0.6351,
heart_h,,,,,,,,,4,12,1,u,0.6151,
,,,,,,,,,5,12,1,u,0.6351,
,,,,,,,,,6,12,1,u,0.6351,
,,,,,,,,,7,12,1,u,0.6351,
,,,,,,,,,8,12,1,u,0.6351,
,,,,,,,,,9,12,1,u,0.6351,
,,,,,,,,,10,12,1,u,0.6351,
,,,,,,,,,,,,,,
heart_statlog,87,270,13,2,binary,0.01,classification,,1,87,1,d,0.7059,
heart_statlog,,,,,,,,,2,87,1,d,0.7059,
heart_statlog,,,,,,,,,3,87,1,d,0.7059,
heart_statlog,,,,,,,,,4,87,1,d,0.7059,
,,,,,,,,,5,87,1,d,0.7059,
,,,,,,,,,6,87,1,d,0.7059,
,,,,,,,,,7,87,1,d,0.7059,
,,,,,,,,,8,87,1,d,0.7059,
,,,,,,,,,9,87,1,d,0.7059,
,,,,,,,,,10,87,1,d,0.7059,
,,,,,,,,,,,,,,
hepatitis,40.6,155,19,2,binary,0.34,classification,,1,45,2,d,0.7436,
hepatitis,,,,,,,,,2,38,2,u,0.7436,
hepatitis,,,,,,,,,3,41,2,d,0.7436,
hepatitis,,,,,,,,,4,25,2,d,0.7436,
,,,,,,,,,5,45,2,d,0.7436,
,,,,,,,,,6,38,2,u,0.7436,
,,,,,,,,,7,41,2,d,0.7436,
,,,,,,,,,8,24,2,d,0.7436,
,,,,,,,,,9,47,2,d,0.7436,
,,,,,,,,,10,62,1,u,0.7436,
,,,,,,,,,,,,,,
horse_colic,81,368,22,2,binary,0.07,classification,,1,81,1,d,0.7282,
horse_colic,,,,,,,,,2,81,1,d,0.7282,
horse_colic,,,,,,,,,3,81,1,d,0.7282,
horse_colic,,,,,,,,,4,81,1,d,0.7282,
,,,,,,,,,5,81,1,d,0.7283,
,,,,,,,,,6,81,1,d,0.7283,
,,,,,,,,,7,81,1,d,0.7283,
,,,,,,,,,8,81,1,d,0.7283,
,,,,,,,,,9,81,1,d,0.7283,
,,,,,,,,,10,81,1,d,0.7283,
,,,,,,,,,,,,,,
house_votes_84,2,435,16,2,binary,0.05,classification,,1,2,2,d,0.899,
house_votes_84,,,,,,,,,2,2,1,d,0.899,
house_votes_84,,,,,,,,,3,2,2,d,0.899,
house_votes_84,,,,,,,,,4,2,2,d,0.899,
,,,,,,,,,5,2,2,d,0.8991,
,,,,,,,,,6,2,1,d,0.8991,
,,,,,,,,,7,2,2,d,0.8991,
,,,,,,,,,8,2,2,d,0.8991,
,,,,,,,,,9,2,1,d,0.8991,
,,,,,,,,,10,2,2,d,0.8991,
,,,,,,,,,,,,,,
hungarian,4,294,13,2,binary,0.08,classification,,1,3,1,u,0.6081,
hungarian,,,,,,,,,2,5,1,d,0.6216,
hungarian,,,,,,,,,3,5,1,d,0.6216,
hungarian,,,,,,,,,4,3,1,u,0.6081,
,,,,,,,,,5,3,1,u,0.6081,
,,,,,,,,,6,5,1,d,0.6216,
,,,,,,,,,7,5,1,d,0.6216,
,,,,,,,,,8,3,1,u,0.6081,
,,,,,,,,,9,5,1,d,0.6216,
,,,,,,,,,10,3,1,u,0.6081,
,,,,,,,,,,,,,,
ionosphere,2,351,34,2,binary,0.08,classification,,1,2,1,u,0.9204,
ionosphere,,,,,,,,,2,2,1,u,0.9204,
ionosphere,,,,,,,,,3,2,1,u,0.9204,
ionosphere,,,,,,,,,4,2,1,u,0.9204,
,,,,,,,,,5,2,1,u,0.9204,
,,,,,,,,,6,2,1,u,0.9204,
,,,,,,,,,7,2,1,u,0.9204,
,,,,,,,,,8,2,1,u,0.9204,
,,,,,,,,,9,2,1,u,0.9204,
,,,,,,,,,10,2,1,u,0.9204,
,,,,,,,,,,,,,,
iris,19,150,4,3,categorical,0,classification,,1,19,1,u,0.9473,
iris,,,,,,,,,2,19,1,u,0.9473,
iris,,,,,,,,,3,19,1,u,0.9473,
iris,,,,,,,,,4,19,1,u,0.9473,
,,,,,,,,,5,19,1,u,0.9474,
,,,,,,,,,6,19,1,u,0.9474,
,,,,,,,,,7,19,1,u,0.9474,
,,,,,,,,,8,19,1,u,0.9474,
,,,,,,,,,9,19,1,u,0.9474,
,,,,,,,,,10,19,1,u,0.9474,
,,,,,,,,,,,,,,
irish,6,500,5,2,binary,0.01,classification,,1,6,1,d,0.928,
irish,,,,,,,,,2,6,1,d,0.928,
irish,,,,,,,,,3,6,1,d,0.928,
irish,,,,,,,,,4,6,1,d,0.928,
,,,,,,,,,5,6,1,d,0.928,
,,,,,,,,,6,6,1,d,0.928,
,,,,,,,,,7,6,1,d,0.928,
,,,,,,,,,8,6,1,d,0.928,
,,,,,,,,,9,6,1,d,0.928,
,,,,,,,,,10,6,1,d,0.928,
,,,,,,,,,,,,,,
labor,1.5,57,16,2,binary,0.09,classification,,1,1,1,d,0.9333,
labor,,,,,,,,,2,1,1,d,0.9333,
labor,,,,,,,,,3,2,1,d,0.8667,
labor,,,,,,,,,4,2,1,d,0.8667,
,,,,,,,,,5,1,1,d,0.9333,
,,,,,,,,,6,1,1,d,0.9333,
,,,,,,,,,7,2,1,d,0.8666,
,,,,,,,,,8,2,1,d,0.8666,
,,,,,,,,,9,2,1,d,0.8666,
,,,,,,,,,10,1,1,u,0.9333,
,,,,,,,,,,,,,,
lupus,26.5,87,3,2,binary,0.04,classification,,1,24,2,u,0.8636,
lupus,,,,,,,,,2,29,2,u,0.8181,
lupus,,,,,,,,,3,24,2,u,0.8636,
lupus,,,,,,,,,4,29,2,u,0.8181,
,,,,,,,,,5,24,2,u,0.8636,
,,,,,,,,,6,29,2,u,0.8182,
,,,,,,,,,7,24,2,u,0.8636,
,,,,,,,,,8,29,2,u,0.8182,
,,,,,,,,,9,29,2,u,0.8182,
,,,,,,,,,10,24,2,u,0.8636,
,,,,,,,,,,,,,,
lymphography,41,148,18,4,categorical,0.29,classification,,1,40,1,d,0.8108,
lymphography,,,,,,,,,2,42,1,d,0.7838,
lymphography,,,,,,,,,3,40,1,d,0.8108,
lymphography,,,,,,,,,4,42,1,d,0.7838,
,,,,,,,,,5,40,1,d,0.8108,
,,,,,,,,,6,42,1,d,0.7838,
,,,,,,,,,7,40,1,d,0.8108,
,,,,,,,,,8,42,1,d,0.7838,
,,,,,,,,,9,40,1,d,0.8108,
,,,,,,,,,10,42,1,d,0.7838,
,,,,,,,,,,,,,,
molecular_biology_promoters,27.4,106,58,2,binary,0,classification,,1,40,1,d,0.963,
molecular_biology_promoters,,,,,,,,,2,7,2,u,1,
molecular_biology_promoters,,,,,,,,,3,8,1,d,0.9259,
molecular_biology_promoters,,,,,,,,,4,42,1,d,1,
,,,,,,,,,5,51,1,d,0.8148,
,,,,,,,,,6,51,1,d,0.8148,
,,,,,,,,,7,8,1,u,0.7778,
,,,,,,,,,8,51,1,d,0.8148,
,,,,,,,,,9,8,1,u,0.7778,
,,,,,,,,,10,8,1,u,0.7778,
,,,,,,,,,,,,,,
monk1,8,556,6,2,binary,0,classification,,1,8,2,d,0.9424,
monk1,,,,,,,,,2,8,2,d,0.9424,
monk1,,,,,,,,,3,8,2,d,0.9424,
monk1,,,,,,,,,4,8,2,d,0.9424,
,,,,,,,,,5,8,2,d,0.9424,
,,,,,,,,,6,8,2,d,0.9424,
,,,,,,,,,7,8,2,d,0.9424,
,,,,,,,,,8,8,2,d,0.9424,
,,,,,,,,,9,8,2,d,0.9424,
,,,,,,,,,10,8,2,d,0.9424,
,,,,,,,,,,,,,,
monk2,12,601,6,2,binary,0.1,classification,,1,12,2,d,0.8013,
monk2,,,,,,,,,2,12,2,d,0.8013,
monk2,,,,,,,,,3,12,2,d,0.8013,
monk2,,,,,,,,,4,12,2,d,0.8013,
,,,,,,,,,5,12,2,d,0.8013,
,,,,,,,,,6,12,2,d,0.8013,
,,,,,,,,,7,12,2,d,0.8013,
,,,,,,,,,8,12,2,d,0.8013,
,,,,,,,,,9,12,2,d,0.8013,
,,,,,,,,,10,12,2,d,0.8013,
,,,,,,,,,,,,,,
monk3,5,554,6,2,binary,0,classification,,1,5,1,u,0.964,
monk3,,,,,,,,,2,5,1,u,0.964,
monk3,,,,,,,,,3,5,1,u,0.964,
monk3,,,,,,,,,4,5,1,u,0.964,
,,,,,,,,,5,5,1,u,0.964,
,,,,,,,,,6,5,1,u,0.964,
,,,,,,,,,7,5,1,u,0.964,
,,,,,,,,,8,5,1,u,0.964,
,,,,,,,,,9,5,1,u,0.964,
,,,,,,,,,10,5,1,u,0.964,
,,,,,,,,,,,,,,
movement_libras,1.5,360,90,15,categorical,0,classification,,1,1,1,d,0.8667,
movement_libras,,,,,,,,,2,1,1,d,0.8667,
movement_libras,,,,,,,,,3,2,2,d,0.8667,
movement_libras,,,,,,,,,4,2,2,d,0.8667,
,,,,,,,,,5,1,1,d,0.8667,
,,,,,,,,,6,1,1,d,0.8667,
,,,,,,,,,7,2,2,d,0.8667,
,,,,,,,,,8,2,2,d,0.8667,
,,,,,,,,,9,2,1,d,0.8667,
,,,,,,,,,10,1,2,d,0.8667,
,,,,,,,,,,,,,,
mux6,6,128,6,2,binary,0,classification,,1,6,1,d,1,
mux6,,,,,,,,,2,6,2,d,1,
mux6,,,,,,,,,3,6,2,d,1,
mux6,,,,,,,,,4,6,1,d,1,
,,,,,,,,,5,6,1,d,1,
,,,,,,,,,6,6,2,d,1,
,,,,,,,,,7,6,2,d,1,
,,,,,,,,,8,6,1,d,1,
,,,,,,,,,9,6,2,d,1,
,,,,,,,,,10,6,2,d,1,
,,,,,,,,,,,,,,
new_thyroid,1.3,215,5,3,categorical,0.3,classification,,1,1,1,d,0.9444,
new_thyroid,,,,,,,,,2,1,1,d,0.9444,
new_thyroid,,,,,,,,,3,2,1,d,0.9444,
new_thyroid,,,,,,,,,4,1,1,u,0.9444,
,,,,,,,,,5,1,1,d,0.9444,
,,,,,,,,,6,1,1,d,0.9444,
,,,,,,,,,7,2,1,d,0.9444,
,,,,,,,,,8,1,1,u,0.9444,
,,,,,,,,,9,2,1,d,0.9444,
,,,,,,,,,10,1,1,u,0.9444,
,,,,,,,,,,,,,,
parity5,10,32,5,2,binary,0,classification,,1,10,1,u,1,
parity5,,,,,,,,,2,10,1,u,1,
parity5,,,,,,,,,3,10,2,u,1,
parity5,,,,,,,,,4,10,2,u,1,
,,,,,,,,,5,10,1,u,1,
,,,,,,,,,6,10,1,u,1,
,,,,,,,,,7,10,2,u,1,
,,,,,,,,,8,10,2,u,1,
,,,,,,,,,9,10,2,u,1,
,,,,,,,,,10,10,1,u,1,
,,,,,,,,,,,,,,
penguins,13,344,6,3,discrete,0.05,classification,,1,13,1,d,0.8333,
penguins,,,,,,,,,2,13,1,d,0.8333,
penguins,,,,,,,,,3,13,1,d,0.8333,
penguins,,,,,,,,,4,13,1,d,0.8333,
,,,,,,,,,5,13,1,d,0.8333,
,,,,,,,,,6,13,1,d,0.8333,
,,,,,,,,,7,13,1,d,0.8333,
,,,,,,,,,8,13,1,d,0.8333,
,,,,,,,,,9,13,1,d,0.8333,
,,,,,,,,,10,13,1,d,0.8333,
,,,,,,,,,,,,,,
pima,62,768,8,2,binary,0.09,classification,,1,62,1,d,0.7656,
pima,,,,,,,,,2,62,1,d,0.7656,
pima,,,,,,,,,3,62,1,d,0.7656,
pima,,,,,,,,,4,62,1,d,0.7656,
,,,,,,,,,5,62,1,d,0.7656,
,,,,,,,,,6,62,1,d,0.7656,
,,,,,,,,,7,62,1,d,0.7656,
,,,,,,,,,8,62,1,d,0.7656,
,,,,,,,,,9,62,1,d,0.7656,
,,,,,,,,,10,62,1,d,0.7656,
,,,,,,,,,,,,,,
postoperative_patient_data,2,88,8,2,binary,0.21,classification,,1,2,1,u,0.7727,
postoperative_patient_data,,,,,,,,,2,2,1,u,0.7727,
postoperative_patient_data,,,,,,,,,3,2,1,u,0.7727,
postoperative_patient_data,,,,,,,,,4,2,2,u,0.7727,
,,,,,,,,,5,2,1,u,0.7727,
,,,,,,,,,6,2,1,u,0.7727,
,,,,,,,,,7,2,1,u,0.7727,
,,,,,,,,,8,2,2,u,0.7727,
,,,,,,,,,9,2,1,u,0.7727,
,,,,,,,,,10,2,2,u,0.7727,
,,,,,,,,,,,,,,
prnn_crabs,1.3,200,7,2,binary,0,classification,,1,1,1,d,0.98,
prnn_crabs,,,,,,,,,2,1,1,d,0.98,
prnn_crabs,,,,,,,,,3,2,1,d,0.98,
prnn_crabs,,,,,,,,,4,1,1,d,0.98,
,,,,,,,,,5,1,1,d,0.98,
,,,,,,,,,6,1,1,d,0.98,
,,,,,,,,,7,2,1,d,0.98,
,,,,,,,,,8,1,1,d,0.98,
,,,,,,,,,9,2,1,d,0.98,
,,,,,,,,,10,1,1,u,0.98,
,,,,,,,,,,,,,,
prnn_fglass,1.3,205,9,5,categorical,0.11,classification,,1,1,1,d,0.75,
prnn_fglass,,,,,,,,,2,1,1,d,0.75,
prnn_fglass,,,,,,,,,3,2,1,d,0.75,
prnn_fglass,,,,,,,,,4,1,1,u,0.75,
,,,,,,,,,5,1,1,d,0.75,
,,,,,,,,,6,1,1,d,0.75,
,,,,,,,,,7,2,1,d,0.75,
,,,,,,,,,8,1,1,u,0.75,
,,,,,,,,,9,2,1,d,0.75,
,,,,,,,,,10,1,1,u,0.75,
,,,,,,,,,,,,,,
prnn_synth,9.8,250,2,2,binary,0,classification,,1,9,2,d,0.873,
prnn_synth,,,,,,,,,2,11,2,d,0.8889,
prnn_synth,,,,,,,,,3,9,2,d,0.873,
prnn_synth,,,,,,,,,4,11,2,d,0.8889,
,,,,,,,,,5,9,2,d,0.873,
,,,,,,,,,6,11,2,d,0.8889,
,,,,,,,,,7,9,2,d,0.873,
,,,,,,,,,8,11,2,d,0.8889,
,,,,,,,,,9,9,2,d,0.873,
,,,,,,,,,10,9,2,d,0.873,
,,,,,,,,,,,,,,
profb,53,672,9,2,binary,0.11,classification,,1,53,1,d,0.6488,
profb,,,,,,,,,2,53,1,d,0.6488,
profb,,,,,,,,,3,53,1,d,0.6488,
profb,,,,,,,,,4,53,1,d,0.6488,
,,,,,,,,,5,53,1,d,0.6489,
,,,,,,,,,6,53,1,d,0.6489,
,,,,,,,,,7,53,1,d,0.6489,
,,,,,,,,,8,53,1,d,0.6489,
,,,,,,,,,9,53,1,d,0.6489,
,,,,,,,,,10,53,1,d,0.6489,
,,,,,,,,,,,,,,
promoters,,106,58,2,binary,0,classification,,1,40,1,d,0.9629,
promoters,,,,,,,,,2,7,2,u,1,
promoters,,,,,,,,,3,8,1,d,0.9259,
promoters,,,,,,,,,4,42,1,d,1,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
schizo,13.6,340,14,3,categorical,0.15,classification,,1,14,2,d,0.5411,
schizo,,,,,,,,,2,14,2,d,0.5411,
schizo,,,,,,,,,3,13,2,u,0.5176,
schizo,,,,,,,,,4,14,2,d,0.5411,
,,,,,,,,,5,14,2,d,0.5412,
,,,,,,,,,6,14,2,d,0.5412,
,,,,,,,,,7,13,2,u,0.5176,
,,,,,,,,,8,14,2,d,0.5412,
,,,,,,,,,9,13,2,u,0.5176,
,,,,,,,,,10,13,2,u,0.5176,
,,,,,,,,,,,,,,
saheart,80.8,462,9,2,binary,0.09,classification,,1,85,2,d,0.6293,
saheart,,,,,,,,,2,78,2,d,0.6207,
saheart,,,,,,,,,3,78,2,d,0.6207,
saheart,,,,,,,,,4,85,2,d,0.6293,
,,,,,,,,,5,85,2,d,0.6293,
,,,,,,,,,6,78,2,d,0.6206,
,,,,,,,,,7,78,2,d,0.6206,
,,,,,,,,,8,85,2,d,0.6293,
,,,,,,,,,9,78,2,d,0.6206,
,,,,,,,,,10,78,2,d,0.6206,
,,,,,,,,,,,,,,
solar_flare_1,16,315,12,5,categorical,0.03,classification,,1,16,1,d,0.6962,
solar_flare_1,,,,,,,,,2,16,1,d,0.6962,
solar_flare_1,,,,,,,,,3,16,1,d,0.6962,
solar_flare_1,,,,,,,,,4,16,1,d,0.6962,
,,,,,,,,,5,16,1,d,0.6962,
,,,,,,,,,6,16,1,d,0.6962,
,,,,,,,,,7,16,1,d,0.6962,
,,,,,,,,,8,16,1,d,0.6962,
,,,,,,,,,9,16,1,d,0.6962,
,,,,,,,,,10,16,1,d,0.6962,
,,,,,,,,,,,,,,
sonar,3.9,208,60,2,binary,0,classification,,1,4,1,d,0.7115,
sonar,,,,,,,,,2,4,1,d,0.7115,
sonar,,,,,,,,,3,4,1,d,0.7115,
sonar,,,,,,,,,4,4,1,d,0.7115,
,,,,,,,,,5,4,1,d,0.7115,
,,,,,,,,,6,4,1,d,0.7115,
,,,,,,,,,7,4,1,d,0.7115,
,,,,,,,,,8,4,1,d,0.7115,
,,,,,,,,,9,4,1,d,0.7115,
,,,,,,,,,10,3,1,d,0.6923,
,,,,,,,,,,,,,,
soybean,8,675,35,18,categorical,0.04,classification,,1,8,1,d,0.8817,
soybean,,,,,,,,,2,8,1,d,0.8817,
soybean,,,,,,,,,3,8,1,d,0.8817,
soybean,,,,,,,,,4,8,1,d,0.8817,
,,,,,,,,,5,8,1,d,0.8817,
,,,,,,,,,6,8,1,d,0.8817,
,,,,,,,,,7,8,1,d,0.8817,
,,,,,,,,,8,8,1,d,0.8817,
,,,,,,,,,9,8,1,d,0.8817,
,,,,,,,,,10,8,1,d,0.8817,
,,,,,,,,,,,,,,
spect,64,267,22,2,binary,0.35,classification,,1,64,1,d,0.6866,
spect,,,,,,,,,2,64,1,d,0.6866,
spect,,,,,,,,,3,64,1,d,0.6866,
spect,,,,,,,,,4,64,1,d,0.6866,
,,,,,,,,,5,64,1,d,0.6866,
,,,,,,,,,6,64,1,d,0.6866,
,,,,,,,,,7,64,1,d,0.6866,
,,,,,,,,,8,64,1,d,0.6866,
,,,,,,,,,9,64,1,d,0.6866,
,,,,,,,,,10,64,1,d,0.6866,
,,,,,,,,,,,,,,
spectf,97,349,44,2,binary,0.21,classification,,1,97,1,d,0.8977,
spectf,,,,,,,,,2,97,1,d,0.8977,
spectf,,,,,,,,,3,97,1,d,0.8977,
spectf,,,,,,,,,4,97,1,d,0.8977,
,,,,,,,,,5,97,1,d,0.8977,
,,,,,,,,,6,97,1,d,0.8977,
,,,,,,,,,7,97,1,d,0.8977,
,,,,,,,,,8,97,1,d,0.8977,
,,,,,,,,,9,97,1,d,0.8977,
,,,,,,,,,10,97,1,d,0.8977,
,,,,,,,,,,,,,,
tae,48.2,151,5,3,categorical,0,classification,,1,51,1,d,0.5789,
tae,,,,,,,,,2,51,1,d,0.5789,
tae,,,,,,,,,3,46,1,d,0.6053,
tae,,,,,,,,,4,45,1,d,0.5789,
,,,,,,,,,5,51,1,d,0.579,
,,,,,,,,,6,51,1,d,0.579,
,,,,,,,,,7,46,1,d,0.6053,
,,,,,,,,,8,45,1,d,0.579,
,,,,,,,,,9,51,1,d,0.579,
,,,,,,,,,10,45,1,d,0.579,
,,,,,,,,,,,,,,
threeOf9,27,512,9,2,binary,0,classification,,1,27,1,d,0.9219,
threeOf9,,,,,,,,,2,27,1,d,0.9219,
threeOf9,,,,,,,,,3,27,1,d,0.9219,
threeOf9,,,,,,,,,4,27,1,d,0.9219,
,,,,,,,,,5,27,1,d,0.9219,
,,,,,,,,,6,27,1,d,0.9219,
,,,,,,,,,7,27,1,d,0.9219,
,,,,,,,,,8,27,1,d,0.9219,
,,,,,,,,,9,27,1,d,0.9219,
,,,,,,,,,10,27,1,d,0.9219,
,,,,,,,,,,,,,,
tic_tac_toe,6,958,9,2,binary,0.09,classification,,1,6,1,u,0.8625,
tic_tac_toe,,,,,,,,,2,6,1,u,0.8625,
tic_tac_toe,,,,,,,,,3,6,1,u,0.8625,
tic_tac_toe,,,,,,,,,4,6,1,u,0.8625,
,,,,,,,,,5,6,1,u,0.8625,
,,,,,,,,,6,6,1,u,0.8625,
,,,,,,,,,7,6,1,u,0.8625,
,,,,,,,,,8,6,1,u,0.8625,
,,,,,,,,,9,6,1,u,0.8625,
,,,,,,,,,10,6,1,u,0.8625,
,,,,,,,,,,,,,,
tokyo1,36.9,959,44,2,binary,0.08,classification,,1,37,1,d,0.9083,
tokyo1,,,,,,,,,2,37,1,d,0.9083,
tokyo1,,,,,,,,,3,34,1,d,0.9042,
tokyo1,,,,,,,,,4,38,1,d,0.9083,
,,,,,,,,,5,37,1,d,0.9083,
,,,,,,,,,6,37,1,d,0.9083,
,,,,,,,,,7,34,1,d,0.9041,
,,,,,,,,,8,38,1,d,0.9083,
,,,,,,,,,9,38,1,d,0.9083,
,,,,,,,,,10,39,1,d,0.9083,
,,,,,,,,,,,,,,
vehicle,2.9,846,18,4,categorical,0,classification,,1,2,1,d,0.6745,
vehicle,,,,,,,,,2,2,1,d,0.6745,
vehicle,,,,,,,,,3,5,1,d,0.6887,
vehicle,,,,,,,,,4,2,1,d,0.6745,
,,,,,,,,,5,2,1,d,0.6745,
,,,,,,,,,6,2,1,d,0.6745,
,,,,,,,,,7,5,1,d,0.6887,
,,,,,,,,,8,2,1,d,0.6745,
,,,,,,,,,9,2,1,d,0.6745,
,,,,,,,,,10,5,1,d,0.6887,
,,,,,,,,,,,,,,
vote,4,435,16,2,binary,0.05,classification,,1,4,1,u,0.9633,
vote,,,,,,,,,2,4,1,u,0.9633,
vote,,,,,,,,,3,4,1,u,0.9633,
vote,,,,,,,,,4,4,1,u,0.9633,
,,,,,,,,,5,4,1,u,0.9633,
,,,,,,,,,6,4,1,u,0.9633,
,,,,,,,,,7,4,1,u,0.9633,
,,,,,,,,,8,4,1,u,0.9633,
,,,,,,,,,9,4,1,u,0.9633,
,,,,,,,,,10,4,1,u,0.9633,
,,,,,,,,,,,,,,
vowel,1.6,990,13,11,categorical,0,classification,,1,2,2,d,0.9919,
vowel,,,,,,,,,2,1,2,d,0.9919,
vowel,,,,,,,,,3,2,2,d,0.9919,
vowel,,,,,,,,,4,2,2,d,0.9919,
,,,,,,,,,5,2,2,d,0.992,
,,,,,,,,,6,1,2,d,0.992,
,,,,,,,,,7,2,2,d,0.992,
,,,,,,,,,8,2,2,d,0.992,
,,,,,,,,,9,1,2,d,0.992,
,,,,,,,,,10,1,2,d,0.992,
,,,,,,,,,,,,,,
wdbc,5,569,30,2,binary,0.06,classification,,1,5,1,u,0.951,
wdbc,,,,,,,,,2,5,1,u,0.951,
wdbc,,,,,,,,,3,5,1,u,0.951,
wdbc,,,,,,,,,4,5,1,u,0.951,
,,,,,,,,,5,5,1,u,0.951,
,,,,,,,,,6,5,1,u,0.951,
,,,,,,,,,7,5,1,u,0.951,
,,,,,,,,,8,5,1,u,0.951,
,,,,,,,,,9,5,1,u,0.951,
,,,,,,,,,10,5,1,u,0.951,
,,,,,,,,,,,,,,
wine_recognition,1.5,178,13,3,categorical,0.01,classification,,1,1,1,d,0.8222,
wine_recognition,,,,,,,,,2,1,1,d,0.8222,
wine_recognition,,,,,,,,,3,2,1,d,0.8222,
wine_recognition,,,,,,,,,4,2,1,d,0.8222,
,,,,,,,,,5,1,1,d,0.8222,
,,,,,,,,,6,1,1,d,0.8222,
,,,,,,,,,7,2,1,d,0.8222,
,,,,,,,,,8,2,1,d,0.8222,
,,,,,,,,,9,2,1,d,0.8222,
,,,,,,,,,10,1,1,u,0.8222,
,,,,,,,,,,,,,,
xd6,13,973,9,2,binary,0.11,classification,,1,13,1,d,1,
xd6,,,,,,,,,2,13,1,d,1,
xd6,,,,,,,,,3,13,1,d,1,
xd6,,,,,,,,,4,13,1,d,1,
,,,,,,,,,5,13,1,d,1,
,,,,,,,,,6,13,1,d,1,
,,,,,,,,,7,13,1,d,1,
,,,,,,,,,8,13,1,d,1,
,,,,,,,,,9,13,1,d,1,
,,,,,,,,,10,13,1,d,1,